date,humidity,rainfall,temperature,sunshine
Thg1-06,77,23.31666667,17.4,102.1666667
Thg2-06,82.66666667,25.5,18.93333333,64.66666667
Thg3-06,82.16666667,30.5,20.41666667,62.16666667
Thg4-06,78.5,60,24.9,131.6666667
Thg5-06,79.83333333,177.8333333,26.21666667,170.8333333
Thg6-06,81.66666667,193.1666667,28.26666667,166.8333333
Thg7-06,82.66666667,332.6666667,28.25,147.5
Thg8-06,86,399.6666667,26.86666667,132
Thg9-06,78.66666667,113.3333333,26.51666667,178.6666667
Thg10-06,82.5,46.16666667,25.8,156.1666667
Thg11-06,80,48.33333333,22.98333333,169.8333333
Thg12-06,76.33333333,3,17.66666667,118.5
Thg1-07,74,3.833333333,16.31666667,89
Thg2-07,79.16666667,27.83333333,20.71666667,114.1666667
Thg3-07,83,21.5,21.45,79.16666667
Thg4-07,79.5,101.6666667,23.01666667,103.8333333
Thg5-07,78.66666667,239.8333333,26.1,158.5
Thg6-07,80.16666667,231,28.68333333,188.3333333
Thg7-07,82.33333333,369,28.48333333,174.6666667
Thg8-07,83.83333333,212.3333333,27.76666667,145.8333333
Thg9-07,83.33333333,233.3333333,26.11666667,134.6666667
Thg10-07,80.83333333,73.83333333,24.56666667,126.6666667
Thg11-07,75.83333333,21.66666667,19.78333333,175.1666667
Thg12-07,82.33333333,14.33333333,19.56666667,80.16666667
Thg1-08,81.16666667,42.83333333,15.63333333,95.5
Thg2-08,77.66666667,41,13.33333333,32.33333333
Thg3-08,81.83333333,54.16666667,20.86666667,97.66666667
Thg4-08,83,85.66666667,24.58333333,110.6666667
Thg5-08,80.33333333,182.8333333,26.53333333,175
Thg6-08,85.16666667,321.8333333,27.25,106
Thg7-08,84.16666667,350.5,27.88333333,127.6666667
Thg8-08,85.66666667,362.5,27.66666667,136.6666667
Thg9-08,83.83333333,268.3333333,27.11666667,155
Thg10-08,83.33333333,192,25.41666667,119.5
Thg11-08,79.5,163.5,20.38333333,155.5
Thg12-08,79,13.33333333,17.3,125.3333333
Thg1-09,75.16666667,2.7,15.4,121.75
Thg2-09,81,8.933333333,21.78333333,122.0333333
Thg3-09,80,54.83333333,21.31666667,88.85
Thg4-09,81.66666667,150.3166667,24.16666667,123.7166667
Thg5-09,81.66666667,256.2666667,26.38333333,167.7333333
Thg6-09,80.33333333,207.6,28.5,162.8833333
Thg7-09,83.5,369.05,28.3,154.55
Thg8-09,81.83333333,198.95,28.38333333,198.9333333
Thg9-09,81.66666667,193.5166667,27.55,170.2166667
Thg10-09,80.5,62,25.58333333,153.1833333
Thg11-09,73.16666667,4.916666667,20.55,155.7666667
Thg12-09,77.5,5.183333333,18.73333333,97.96666667
Thg1-10,81,72.36666667,17.48333333,84.38333333
Thg2-10,78.66666667,12.58333333,20.25,122.8166667
Thg3-10,75.66666667,27.6,21.45,87.13333333
Thg4-10,82.5,109.4833333,23.86666667,105.6
Thg5-10,81.33333333,220.7166667,27.53333333,164.3333333
Thg6-10,79.83333333,212.8666667,28.86666667,158.7166667
Thg7-10,81.33333333,247.3666667,28.83333333,180.3833333
Thg8-10,84.33333333,295.95,27.58333333,154.05
Thg9-10,83.33333333,214.8,27.35,162.5
Thg10-10,77.33333333,38.86666667,24.61666667,137.4
Thg11-10,75.16666667,4.15,20.9,132.1333333
Thg12-10,79.5,25.66666667,18.93333333,94.15
Thg1-11,77,10.41666667,13.03333333,17.46666667
Thg2-11,86.33333333,16.53333333,17.145,82.46666667
Thg3-11,81.33333333,98.23333333,17.23333333,43.58333333
Thg4-11,81.83333333,74.05,23.28333333,96.48333333
Thg5-11,80,209.3666667,26.06666667,164.9
Thg6-11,83.5,288.1333333,28.28333333,144.45
Thg7-11,82,265.3,28.4,182.2166667
Thg8-11,82.83333333,261.2166667,27.8,183.0333333
Thg9-11,82.66666667,283.0833333,26.71666667,138.5166667
Thg10-11,80.66666667,116.3166667,23.81666667,113.0666667
Thg11-11,80.83333333,22.58333333,22.06666667,147.1833333
Thg12-11,72.83333333,17.25,16.78333333,102.6
Thg1-12,86.16666667,57.33333333,14.26666667,40.13333333
Thg2-12,84.33333333,14.06666667,16.05,63.53333333
Thg3-12,81,31.83333333,19.66666667,69.96666667
Thg4-12,78.16666667,99,24.91666667,157.05
Thg5-12,79.83333333,286.6,27.45,154.3666667
Thg6-12,81,227.65,28.05,111.1333333
Thg7-12,83.33333333,455.5166667,27.53333333,153.15
Thg8-12,83,338.8333333,27.31666667,182.4
Thg9-12,82.66666667,199.8,25.71666667,136.6666667
Thg10-12,79.83333333,161.3333333,24.68333333,148.1333333
Thg11-12,83.83333333,72.45,21.88333333,114.95
Thg12-12,82.33333333,23.91666667,17.91666667,84.75
Thg1-13,84.66666667,31.66666667,14.85,45.46666667
Thg2-13,85.33333333,24.4,19.33333333,86.35
Thg3-13,78,45.38333333,22.75,129.35
Thg4-13,81.33333333,102.2833333,23.68333333,114.0833333
Thg5-13,81.5,222.3666667,26.86666667,179.8
Thg6-13,80.16666667,268.45,27.53333333,169.15
Thg7-13,86.5,450.5,26.81666667,126.8333333
Thg8-13,84.66666667,428.7,27.13333333,162.3
Thg9-13,84.83333333,269.9166667,25.48333333,124.8666667
Thg10-13,77.66666667,59.73333333,23.43333333,148.6666667
Thg11-13,78.66666667,65.2,21.16666667,95.26666667
